Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Jigawa,Maigatari,NGA,NG018020,NG01,January,2017,0,0
Nigeria,Enugu,Igbo Etiti,NGA,NG014007,NG01,January,2017,0,0
Nigeria,Kano,Nassarawa,NGA,NG020031,NG02,January,2017,0,0
Nigeria,Sokoto,Illela,NGA,NG034008,NG03,January,2017,0,0
Nigeria,Kano,Kiru,NGA,NG020024,NG02,January,2017,0,0
Nigeria,Delta,Warri South-West,NGA,NG010025,NG01,January,2017,0,0
Nigeria,Kebbi,Ngaski,NGA,NG022015,NG02,January,2017,0,0
Nigeria,Katsina,Dan-Musa,NGA,NG021007,NG02,January,2017,0,0
Nigeria,Benue,Oju,NGA,NG007017,NG00,January,2017,0,0
Nigeria,Bauchi,Warji,NGA,NG005019,NG00,January,2017,0,0
Nigeria,Kebbi,Bunza,NGA,NG022007,NG02,January,2017,0,0
Nigeria,Benue,Apa,NGA,NG007003,NG00,January,2017,0,0
Nigeria,Bayelsa,Ekermor,NGA,NG006002,NG00,January,2017,0,0
Nigeria,Jigawa,Birniwa,NGA,NG018003,NG01,January,2017,0,0
Nigeria,Anambra,Njikoka,NGA,NG004013,NG00,January,2017,0,0
Nigeria,Nassarawa,Awe,NGA,NG026002,NG02,January,2017,0,0
Nigeria,Cross River,Boki,NGA,NG009008,NG00,January,2017,0,0
Nigeria,Anambra,Awka South,NGA,NG004006,NG00,January,2017,0,0
Nigeria,Lagos,Ifako,NGA,NG025010,NG02,January,2017,1,1
Nigeria,Ondo,Owo,NGA,NG029018,NG02,January,2017,0,0
Nigeria,Plateau,Mikang,NGA,NG032012,NG03,January,2017,0,0
Nigeria,Cross River,Akpabuyo,NGA,NG009003,NG00,January,2017,0,0
Nigeria,Benue,Ohimini,NGA,NG007016,NG00,January,2017,1,0
Nigeria,Adamawa,Numan,NGA,NG002016,NG00,January,2017,0,0
Nigeria,Bauchi,Ningi,NGA,NG005015,NG00,January,2017,0,0
Nigeria,Osun,Aiyedade,NGA,NG030001,NG03,January,2017,0,0
Nigeria,Ondo,Akoko South East,NGA,NG029003,NG02,January,2017,0,0
Nigeria,Jigawa,Kiyawa,NGA,NG018019,NG01,January,2017,0,0
Nigeria,Sokoto,Goronyo,NGA,NG034006,NG03,January,2017,0,0
Nigeria,Jigawa,Gwiwa,NGA,NG018012,NG01,January,2017,0,0
Nigeria,Nassarawa,Obi,NGA,NG026011,NG02,January,2017,0,0
Nigeria,Imo,Isu,NGA,NG017010,NG01,January,2017,0,0
Nigeria,Kwara,Ilorin East,NGA,NG024006,NG02,January,2017,0,0
Nigeria,Adamawa,Demsa,NGA,NG002001,NG00,January,2017,1,0
Nigeria,Gombe,Kaltungo,NGA,NG016007,NG01,January,2017,0,0
Nigeria,Adamawa,Yola-South,NGA,NG002020,NG00,January,2017,0,0
Nigeria,Kwara,Moro,NGA,NG024012,NG02,January,2017,0,0
Nigeria,Sokoto,Tambuwal,NGA,NG034018,NG03,January,2017,0,0
Nigeria,Kebbi,Dandi Kamba,NGA,NG022008,NG02,January,2017,0,0
Nigeria,Nassarawa,Nasarawa,NGA,NG026009,NG02,January,2017,0,0
Nigeria,Taraba,Ussa,NGA,NG035013,NG03,January,2017,0,0
Nigeria,Ogun,Abeokuta North,NGA,NG028001,NG02,January,2017,0,0
Nigeria,Nassarawa,Toto,NGA,NG026012,NG02,January,2017,0,0
Nigeria,Adamawa,Girei,NGA,NG002005,NG00,January,2017,0,0
Nigeria,Niger,Tafa,NGA,NG027024,NG02,January,2017,0,0
Nigeria,Oyo,Irepo,NGA,NG031015,NG03,January,2017,0,0
Nigeria,Anambra,Onisha South,NGA,NG004018,NG00,January,2017,0,0
Nigeria,Akwa Ibom,Mkpat Enin,NGA,NG003018,NG00,January,2017,0,0
Nigeria,Borno,Kukawa,NGA,NG008017,NG00,January,2017,0,0
Nigeria,Benue,Kwande,NGA,NG007011,NG00,January,2017,0,0
Nigeria,Ogun,Ado-Odo,NGA,NG028003,NG02,January,2017,0,0
Nigeria,Jigawa,Dutse,NGA,NG018006,NG01,January,2017,0,0
Nigeria,Borno,Damboa,NGA,NG008007,NG00,January,2017,1,20
Nigeria,Kogi,Mopa-Muro,NGA,NG023013,NG02,January,2017,0,0
Nigeria,Rivers,Andoni,NGA,NG033005,NG03,January,2017,0,0
Nigeria,Benue,Gboko,NGA,NG007005,NG00,January,2017,0,0
Nigeria,Imo,Ikeduru,NGA,NG017008,NG01,January,2017,0,0
